﻿Venue Name,Venue address,Venue type,Latitude,Longitude,Suburb,suburb_list,geolocation
'Grow for Life' Abbeville Street Community Garden,"'Grow for Life' Abbeville Street Community Garden, 41 Abbeville Street, Upper Mt Gravatt","Community Garden,Non-Council venue",-27.54443,153.088797,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.54443, 153.088797"
"7th Brigade Park, Chermside","7th Brigade Park, 21 Kittyhawk Drive, Chermside",Park,-27.3794,153.0303,Chermside,"C, Chermside","-27.3794, 153.0303"
A.J. Jones Recreation Reserve,"A.J. Jones Recreation Reserve, 247 Cornwall Street,  Greenslopes",Park,-27.502603,153.043796,Greenslopes,"G, Greenslopes","-27.502603, 153.043796"
"A.R.C. Hill Park, Virginia","A.R.C. Hill Park, 93 Goss Road, Virginia",Park,-27.3844,153.0558,Virginia,"V, Virginia","-27.3844, 153.0558"
"Abbeville Street Park, Upper Mount Gravatt","Abbeville Street Park, 41 Abbeville Street, Upper Mount Gravatt","Community Garden,Park",-27.5451,153.09,Upper Mt Gravatt,"U, Upper Mt Gravatt","-27.5451, 153.09"
"Abbott Street Park, Camp Hill","Abbott Street Park, 50 Abbott Street, Camp Hill",Park,-27.4998,153.0859,Camp Hill,"C, Camp Hill","-27.4998, 153.0859"
"Acacia Park, St Lucia","Acacia Park, 279 Carmody Road, St Lucia",Park,-27.4992,153.008,St Lucia,"S, St Lucia","-27.4992, 153.008"
Acacia Ridge Community Garden,"Belong Community Garden, 21 Hanify Street, Acacia Ridge","Community Garden,Non-Council venue",-27.5797,153.019,Acacia Ridge,"A, Acacia Ridge","-27.5797, 153.019"
"Acacia Ridge Hall, Acacia Ridge","Acacia Ridge Hall, 13 Coley Street, Acacia Ridge",Community Hall,-27.5874,153.0258,Acacia Ridge,"A, Acacia Ridge","-27.5874, 153.0258"
"Acacia Ridge Leisure Centre, Acacia Ridge","Acacia Ridge Leisure Centre, 1391 Beaudesert Road, Acacia Ridge",Swimming pool,-27.5863,153.0263,Acacia Ridge,"A, Acacia Ridge","-27.5863, 153.0263"
"Acacia Ridge Treasure Trove, Acacia Ridge","Acacia Ridge Treasure Trove, 46 Colebard Street West, Acacia Ridge",General Council venue,-27.5777,153.0007,Acacia Ridge,"A, Acacia Ridge","-27.5777, 153.0007"
"Acorn Circuit Park, Forest Lake","Acorn Circuit Park, 54 Acorn Circuit, Forest Lake",Park,-27.6086,152.9665,Forest Lake,"F, Forest Lake","-27.6086, 152.9665"
Adam Smiddy Park,"Adam Smiddy Park, 25 Park Road, Milton",Park,-27.470603,153.004388,Milton,"M, Milton","-27.470603, 153.004388"
"Admiralty Towers II Park, Brisbane City","Admiralty Towers II Park, 501 Queen Street, Brisbane City",Park,-27.4641,153.0315,Brisbane City,"B, Brisbane City","-27.4641, 153.0315"
